Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Total,Average,Percentage,Place
Bob,3,1,0,0,1,2,0,4,3,5,9,3,31,2.58,7.58%,1
Susie,0,0,2,0,1,1,8,0,0,1,2,10,25,2.08,6.11%,2
Sugar,1,7,2,2,2,3,4,3,5,5,7,10,51,4.25,12.47%,3
Matty,3,1,2,4,2,3,8,5,1,3,6,1,39,3.25,9.54%,4
Ken,6,0,2,3,5,3,3,4,1,5,9,3,44,3.67,10.76%,5
Crystal,3,2,4,3,4,3,6,0,1,2,6,0,34,2.83,8.31%,6
Corinne,3,3,0,0,2,2,4,4,3,6,0,0,27,2.45,6.60%,7
Randy,10,3,2,2,2,2,8,5,13,0,0,0,47,4.70,11.49%,8
Charlie,6,2,1,1,0,1,2,2,0,0,0,0,15,1.67,3.67%,9
Marcus,6,1,2,2,3,4,9,0,0,0,0,0,27,3.38,6.60%,10
Dan,6,1,0,1,0,3,0,0,0,0,0,0,11,1.83,2.69%,11
Ace,3,2,3,2,6,2,0,0,0,0,0,0,18,3.20,4.40%,12
Kelly,0,0,2,0,2,0,0,0,0,0,0,0,4,0.50,0.98%,13
GC,13,0,4,3,0,0,0,0,0,0,0,0,20,5.67,4.89%,14
Jacquie,2,0,1,0,0,0,0,0,0,0,0,0,3,1.00,0.73%,15
Paloma,0,4,0,0,0,0,0,0,0,0,0,0,4,0.00,0.98%,16
Gillian,6,0,0,0,0,0,0,0,0,0,0,0,6,6.00,1.47%,17
Michelle,3,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.73%,18
