Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Cochran,6,1,1,3,0,3,7,7,4,5,4,9,7,10,67,4.79,16.22%,1
Dawn,2,3,0,0,1,0,2,3,3,6,1,1,3,10,35,2.50,8.47%,2
Sherri,1,3,3,1,3,0,0,1,1,0,3,0,1,4,21,1.50,5.08%,3
Eddie,3,0,1,4,3,1,0,0,1,1,1,2,2,6,25,1.79,6.05%,4
Erik,2,0,0,0,0,1,0,2,0,1,3,3,3,0,15,1.07,3.63%,5
Brenda,1,0,0,0,0,0,0,0,0,1,3,3,5,0,13,1.00,3.15%,6
Andrea,2,0,3,2,1,1,1,4,4,1,2,4,0,0,25,2.08,6.05%,7
Reynold,4,3,4,7,2,2,2,4,5,2,2,3,0,0,40,3.33,9.69%,8
Malcolm,1,2,1,2,2,1,3,4,6,4,9,0,0,0,35,3.18,8.47%,9
Phillip,5,3,1,2,3,5,9,1,2,2,0,0,0,0,33,3.30,7.99%,10
Michael,3,0,1,5,3,0,1,1,0,0,0,0,0,0,14,1.56,3.39%,11
Corinne,0,0,1,0,2,7,5,7,0,0,0,0,0,0,22,2.75,5.33%,12
Julia,1,0,1,0,0,1,1,0,0,0,0,0,0,0,4,0.57,0.97%,13
Matt,5,1,1,0,4,2,0,0,0,0,0,0,0,0,13,2.17,3.15%,14
Brandon,2,4,1,1,6,0,0,0,0,0,0,0,0,0,14,2.80,3.39%,15
Laura,2,2,6,2,0,0,0,0,0,0,0,0,0,0,12,3.00,2.91%,16
Shamar,4,2,4,2,0,0,0,0,0,0,0,0,0,0,12,3.00,2.91%,17
Hope,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0.24%,18
Allie,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1.50,0.73%,19
Francesca,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.00,2.18%,20
