Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Brian,1,2,5,1,4,3,5,6,4,8,1,4,10,54,4.15,11.18%,1
Clay,1,7,3,4,5,5,3,4,5,13,1,3,14,68,5.23,14.08%,2
Jan,3,1,0,3,2,2,3,3,3,1,3,3,8,35,2.69,7.25%,3
Helen,5,11,3,5,4,4,3,2,1,3,10,8,4,63,4.85,13.04%,4
Ted,3,0,5,1,5,6,5,4,5,5,2,11,0,52,4.33,10.77%,5
Jake,5,4,1,0,4,3,0,6,7,6,5,0,0,41,3.73,8.49%,6
Penny,3,0,1,1,4,5,1,2,2,4,0,0,0,23,2.30,4.76%,7
Ken,1,2,1,1,0,3,5,5,3,0,0,0,0,21,2.33,4.35%,8
Erin,1,2,2,1,2,3,4,0,0,0,0,0,0,15,1.88,3.11%,9
Shii Ann,3,5,4,3,5,2,11,0,0,0,0,0,0,33,4.71,6.83%,10
Robb,6,1,6,4,2,8,0,0,0,0,0,0,0,27,4.50,5.60%,11
Stephanie,1,2,0,3,4,0,0,0,0,0,0,0,0,10,2.00,2.07%,12
Ghandia,10,2,6,4,0,0,0,0,0,0,0,0,0,22,5.50,4.55%,13
Jed,2,4,1,0,0,0,0,0,0,0,0,0,0,7,2.33,1.45%,14
Tanya,3,1,0,0,0,0,0,0,0,0,0,0,0,4,2.00,0.83%,15
John,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8.00,1.66%,16
