Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Ep. 15,Ep. 16,Total,Average,Percentage,Place
Amber,1,0,1,1,1,4,3,6,7,2,1,2,1,7,11,48,3.20,9.47%,1
Rob M.,9,2,3,6,1,5,1,7,5,5,6,7,2,8,8,75,5.00,14.79%,2
Jenna L.,6,6,0,1,1,0,4,4,2,3,3,2,2,1,6,41,2.73,8.09%,3
Rupert,5,4,7,4,2,7,2,3,2,2,2,2,4,9,4,59,3.93,11.64%,4
Tom,4,1,2,5,1,2,4,0,2,1,2,2,4,2,0,32,2.29,6.31%,5
Shii Ann,3,2,2,1,2,5,4,0,2,0,5,4,7,0,0,37,2.85,7.30%,6
Alicia,5,1,2,3,0,5,1,1,3,0,0,6,0,0,0,27,2.25,5.33%,7
Kathy,1,2,2,1,2,4,4,6,4,3,4,0,0,0,0,33,3.00,6.51%,8
Lex,2,3,3,2,0,4,5,3,6,3,0,0,0,0,0,31,3.10,6.11%,9
Jerri,2,4,4,4,7,3,3,2,3,0,0,0,0,0,0,32,3.56,6.31%,10
Ethan,1,4,3,1,3,3,4,2,0,0,0,0,0,0,0,21,2.63,4.14%,11
Colby,2,3,4,0,5,3,4,0,0,0,0,0,0,0,0,21,3.00,4.14%,12
Sue,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,7,1.17,1.38%,13
Richard,3,4,5,2,6,0,0,0,0,0,0,0,0,0,0,20,4.00,3.94%,14
Rob C.,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,12,3.00,2.37%,15
Jenna M.,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1.67,0.99%,16
Rudy,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.00,0.79%,17
Tina,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0.39%,18
