Castaway,Ep.1,Ep.2,Ep.3,Ep.4,Ep.5,Ep.6,Ep.7,Ep.8,Ep.9,Ep.10,Ep. 11
Tony,6,2,3,1,1,2,1,3,2,2,18
Sarah,1,2,3,3,4,0,1,1,2,4,3
Ben,4,2,2,1,2,1,1,4,1,2,6
Jeremy,2,2,1,2,2,2,1,3,1,2,1
Nick,1,0,1,1,2,3,2,1,5,0,3
Michele,1,0,3,1,3,2,2,0,3,0,0
Denise,1,2,2,0,1,4,1,1,0,0,2
Kim,1,2,0,0,2,2,1,1,2,1,2
Sophie,2,3,0,1,6,0,2,2,0,1,1
Tyson,2,2,1,4,0,5,4,2,1,2,0
Adam,3,5,4,5,3,2,3,2,5,2,0
Wendell,1,1,0,1,1,1,2,2,0,1,0
Yul,4,1,3,1,1,0,4,0,0,1,0
Parvati,5,2,1,1,3,2,1,0,3,1,4
Rob,4,4,3,1,6,1,2,1,0,1,0
Ethan,3,1,1,8,0,0,3,0,0,1,0
Danni,2,1,2,3,0,0,0,1,1,0,0
Amber,3,4,2,7,0,1,0,0,1,1,0
Natalie,7,5,3,3,0,0,0,1,1,1,2
Sandra,7,0,3,3,0,2,2,0,0,0,0
