,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,,
1,4,4,10,8,4,6,8,8,8,8,5,8,11,,
2,2,1,7,3,9,2,5,8,5,8,12,8,15,,
3,4,3,2,1,4,4,7,5,3,4,2,4,8,,
4,2,2,5,4,4,3,5,8,6,8,10,8,6,,
5,1,5,3,5,11,2,5,3,5,4,6,7,0,,
6,0,3,5,5,3,10,5,3,9,3,8,0,0,,
7,0,6,5,8,4,9,4,8,4,8,0,0,0,,
8,0,2,4,5,5,6,10,10,5,0,0,0,0,,
9,0,4,4,6,4,1,7,9,0,0,0,0,0,,
10,1,6,3,6,4,10,5,0,0,0,0,0,0,,
11,2,2,2,2,2,12,0,0,0,0,0,0,0,,
12,1,0,3,3,4,0,0,0,0,0,0,0,0,,
13,2,9,0,8,0,0,0,0,0,0,0,0,0,,
14,1,2,6,0,0,0,0,0,0,0,0,0,0,,
15,3,8,0,0,0,0,0,0,0,0,0,0,0,,
16,2,0,0,0,0,0,0,0,0,0,0,0,0,,
