,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,,,,
1,4,2,4,3,3,8,5,3,5,4,6,4,9,,,,
2,2,2,1,2,0,2,2,2,4,1,1,1,3,,,,
3,1,2,0,3,1,4,2,4,2,3,0,9,9,,,,
4,1,0,0,5,2,2,0,2,3,5,5,4,4,,,,
5,4,1,3,0,5,1,3,2,2,7,8,7,0,,,,
6,0,3,0,3,4,0,1,1,5,3,1,0,0,,,,
7,1,0,1,1,4,5,4,6,4,5,0,0,0,,,,
8,2,1,1,2,5,1,1,1,3,0,0,0,0,,,,
9,1,1,1,4,3,2,2,5,0,0,0,0,0,,,,
10,0,6,3,1,3,1,5,0,0,0,0,0,0,,,,
11,1,1,0,4,5,1,0,0,0,0,0,0,0,,,,
12,2,1,1,1,5,0,0,0,0,0,0,0,0,,,,
13,2,6,1,7,0,0,0,0,0,0,0,0,0,,,,
14,2,6,8,0,0,0,0,0,0,0,0,0,0,,,,
15,3,3,0,0,0,0,0,0,0,0,0,0,0,,,,
16,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,
