,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,,,,
1,3,1,0,1,0,1,1,4,4,1,3,2,1,10,,,,
2,0,1,0,0,2,1,1,1,4,1,4,4,2,12,,,,
3,2,7,5,1,3,0,6,3,2,4,1,4,4,10,,,,
4,0,0,0,1,1,0,0,0,0,0,7,1,2,5,,,,
5,2,2,0,1,3,2,2,5,4,7,1,0,10,0,,,,
6,2,1,2,0,1,1,1,0,4,1,0,3,0,0,,,,
7,3,0,1,1,1,2,2,1,1,1,1,4,0,0,,,,
8,4,1,1,0,1,2,0,2,3,4,3,0,0,0,,,,
9,3,1,1,4,6,2,3,6,2,3,0,0,0,0,,,,
10,3,1,3,4,1,2,0,2,5,0,0,0,0,0,,,,
11,2,0,1,0,0,5,3,2,0,0,0,0,0,0,,,,
12,3,3,0,2,0,2,1,0,0,0,0,0,0,0,,,,
13,4,4,1,2,0,1,6,0,0,0,0,0,0,0,,,,
14,0,0,0,0,1,2,0,0,0,0,0,0,0,0,,,,
15,3,4,2,2,2,1,0,0,0,0,0,0,0,0,,,,
16,1,4,3,2,4,0,0,0,0,0,0,0,0,0,,,,
17,2,3,2,2,0,0,0,0,0,0,0,0,0,0,,,,
18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
