,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,,,,
1,3,1,0,0,1,2,0,4,3,5,9,3,,,,
2,0,0,2,0,1,1,8,0,0,1,2,10,,,,
3,1,7,2,2,2,3,4,3,5,5,7,10,,,,
4,3,1,2,4,2,3,8,5,1,3,6,1,,,,
5,6,0,2,3,5,3,3,4,1,5,9,3,,,,
6,3,2,4,3,4,3,6,0,1,2,6,0,,,,
7,3,3,0,0,2,2,4,4,3,6,0,0,,,,
8,10,3,2,2,2,2,8,5,13,0,0,0,,,,
9,6,2,1,1,0,1,2,2,0,0,0,0,,,,
10,6,1,2,2,3,4,9,0,0,0,0,0,,,,
11,6,1,0,1,0,3,0,0,0,0,0,0,,,,
12,3,2,3,2,6,2,0,0,0,0,0,0,,,,
13,0,0,2,0,2,0,0,0,0,0,0,0,,,,
14,13,0,4,3,0,0,0,0,0,0,0,0,,,,
15,2,0,1,0,0,0,0,0,0,0,0,0,,,,
16,0,4,0,0,0,0,0,0,0,0,0,0,,,,
17,6,0,0,0,0,0,0,0,0,0,0,0,,,,
18,3,0,0,0,0,0,0,0,0,0,0,0,,,,
