,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,4,2,2,3,5,2,7,8,5,8,3,5,8,11
2,13,0,2,2,3,1,4,1,0,1,3,7,6,7
3,3,4,3,2,1,0,1,0,0,5,0,1,2,2
4,4,2,4,4,1,7,7,6,2,3,2,5,3,2
5,2,0,0,1,4,4,0,1,1,1,2,1,2,2
6,6,0,1,2,1,1,3,2,0,5,6,5,5,0
7,3,1,2,0,1,0,5,4,0,1,4,6,0,0
8,3,1,2,1,3,5,2,3,6,3,4,0,0,0
9,10,2,4,4,4,2,3,1,4,2,0,0,0,0
10,5,3,4,0,0,2,1,4,7,0,0,0,0,0
11,2,2,2,1,3,1,2,1,0,0,0,0,0,0
12,1,0,1,3,3,1,3,0,0,0,0,0,0,0
13,3,1,2,1,1,2,0,0,0,0,0,0,0,0
14,3,2,0,0,5,0,0,0,0,0,0,0,0,0
15,2,1,3,1,0,0,0,0,0,0,0,0,0,0
16,1,2,3,0,0,0,0,0,0,0,0,0,0,0
17,6,6,0,0,0,0,0,0,0,0,0,0,0,0
18,7,0,0,0,0,0,0,0,0,0,0,0,0,0
