,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Ep. 15
1,1,0,1,1,1,4,3,6,7,2,1,2,1,7,11
2,9,2,3,6,1,5,1,7,5,5,6,7,2,8,8
3,6,6,0,1,1,0,4,4,2,3,3,2,2,1,6
4,5,4,7,4,2,7,2,3,2,2,2,2,4,9,4
5,4,1,2,5,1,2,4,0,2,1,2,2,4,2,0
6,3,2,2,1,2,5,4,0,2,0,5,4,7,0,0
7,5,1,2,3,0,5,1,1,3,0,0,6,0,0,0
8,1,2,2,1,2,4,4,6,4,3,4,0,0,0,0
9,2,3,3,2,0,4,5,3,6,3,0,0,0,0,0
10,2,4,4,4,7,3,3,2,3,0,0,0,0,0,0
11,1,4,3,1,3,3,4,2,0,0,0,0,0,0,0
12,2,3,4,0,5,3,4,0,0,0,0,0,0,0,0
13,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0
14,3,4,5,2,6,0,0,0,0,0,0,0,0,0,0
15,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0
16,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
